Wavelength;L_cone;M_cone;S_cone
390;0.000604;0.000512;0.010815
395;0.001513;0.001316;0.026646
400;0.00342;0.003076;0.062566
405;0.006779;0.006291;0.133568
410;0.012083;0.011626;0.251065
415;0.01832;0.018975;0.405973
420;0.024951;0.027961;0.571808
425;0.03065;0.037717;0.701103
430;0.037237;0.049738;0.824536
435;0.044537;0.064573;0.917659
440;0.051972;0.079803;0.995034
445;0.057364;0.092431;0.984349
450;0.062945;0.10486;0.937949
455;0.069093;0.11698;0.835235
460;0.079917;0.136952;0.755544
465;0.098571;0.168494;0.701407
470;0.120229;0.202857;0.60755
475;0.142074;0.234388;0.480296
480;0.165851;0.266228;0.359253
485;0.192021;0.299596;0.264448
490;0.222067;0.335882;0.191016
495;0.267301;0.390999;0.143268
500;0.328286;0.463745;0.108535
505;0.404634;0.553414;0.077769
510;0.494191;0.654201;0.052686
515;0.591749;0.756934;0.036725
520;0.686644;0.851235;0.02481
525;0.762496;0.914324;0.016317
530;0.82596;0.956976;0.010503
535;0.876718;0.981631;0.006684
540;0.926762;0.999011;0.004163
545;0.957943;0.991789;0.002569
550;0.971043;0.963073;0.001573
555;0.988439;0.934262;0.000957
560;0.995562;0.888344;0.000584
565;0.999862;0.83774;0.000357
570;0.99658;0.773623;0.000218
575;0.98032;0.697871;0.000134
580;0.949467;0.610534;0.000083
585;0.927918;0.530568;0.000052
590;0.893158;0.452561;0.000033
595;0.845842;0.374653;0.000021
600;0.789571;0.302122;0.000014
605;0.727763;0.237314;0.000009
610;0.657187;0.182406;0.000006
615;0.582628;0.137713;0.000004
620;0.507784;0.101976;0.000003
625;0.436214;0.074228;0
630;0.361307;0.053441;0
635;0.2933;0.037976;0
640;0.235905;0.026618;0
645;0.187834;0.018324;0
650;0.14432;0.012882;0
655;0.108188;0.008865;0
660;0.080051;0.006;0
665;0.058522;0.004053;0
670;0.042278;0.00278;0
675;0.030147;0.001908;0
680;0.021201;0.001305;0
685;0.014695;0.000887;0
690;0.010019;0.000598;0
695;0.006924;0.00041;0
700;0.004786;0.000283;0
705;0.003297;0.000195;0
710;0.002244;0.000133;0
715;0.001526;0.000091;0
720;0.001047;0.000063;0
725;0.000719;0.000044;0
730;0.000498;0.000031;0
735;0.000345;0.000022;0
740;0.000239;0.000015;0
745;0.000167;0.000011;0
750;0.000117;0.000008;0
755;0.000082;0.000006;0
760;0.000058;0.000004;0
765;0.000041;0.000003;0
770;0.000029;0.000002;0
775;0.000021;0.000002;0
780;0.000015;0.000001;0
785;0.000011;0.000001;0
790;0.000008;0.000001;0
795;0.000006;0;0
800;0.000004;0;0
805;0.000003;0;0
810;0.000002;0;0
815;0.000002;0;0
820;0.000001;0;0
825;0.000001;0;0
830;0.000001;0;0
